TF_ID	Gene_ID	Family
PGSC0003DMP400001547	PGSC0003DMG400000811	RAV
PGSC0003DMP400000156	PGSC0003DMG400000064	WRKY
PGSC0003DMP400000201	PGSC0003DMG400000088	bZIP
PGSC0003DMP400000266	PGSC0003DMG400000120	Dof
PGSC0003DMP400000341	PGSC0003DMG400000154	NAC
PGSC0003DMP400000367	PGSC0003DMG400000169	BES1
PGSC0003DMP400000368	PGSC0003DMG400000169	BES1
PGSC0003DMP400000453	PGSC0003DMG400000211	WRKY
PGSC0003DMP400000489	PGSC0003DMG400000232	bHLH
PGSC0003DMP400000490	PGSC0003DMG400000232	bHLH
PGSC0003DMP400000545	PGSC0003DMG400000272	NF-YA
PGSC0003DMP400000546	PGSC0003DMG400000272	NF-YA
PGSC0003DMP400000547	PGSC0003DMG400000272	NF-YA
PGSC0003DMP400000548	PGSC0003DMG400000272	NF-YA
PGSC0003DMP400000561	PGSC0003DMG400000280	GATA
PGSC0003DMP400000562	PGSC0003DMG400000280	GATA
PGSC0003DMP400000611	PGSC0003DMG401000306	CPP
PGSC0003DMP400000613	PGSC0003DMG401000306	CPP
PGSC0003DMP400000652	PGSC0003DMG400000335	bHLH
PGSC0003DMP400000653	PGSC0003DMG400000335	bHLH
PGSC0003DMP400000756	PGSC0003DMG400000380	HSF
PGSC0003DMP400000872	PGSC0003DMG400000441	Dof
PGSC0003DMP400000873	PGSC0003DMG400000441	Dof
PGSC0003DMP400001112	PGSC0003DMG400000555	NAC
PGSC0003DMP400001113	PGSC0003DMG400000555	NAC
PGSC0003DMP400001114	PGSC0003DMG400000555	NAC
PGSC0003DMP400001202	PGSC0003DMG400000597	TCP
PGSC0003DMP400001203	PGSC0003DMG400000597	TCP
PGSC0003DMP400001205	PGSC0003DMG400000599	bHLH
PGSC0003DMP400001206	PGSC0003DMG400000599	bHLH
PGSC0003DMP400001388	PGSC0003DMG400000711	bHLH
PGSC0003DMP400001390	PGSC0003DMG400000711	bHLH
PGSC0003DMP400001476	PGSC0003DMG401000764	LBD
PGSC0003DMP400001477	PGSC0003DMG402000764	LBD
PGSC0003DMP400001503	PGSC0003DMG400000786	Dof
PGSC0003DMP400001527	PGSC0003DMG400000799	bZIP
PGSC0003DMP400001544	PGSC0003DMG400000809	NAC
PGSC0003DMP400001569	PGSC0003DMG400000823	TCP
PGSC0003DMP400001570	PGSC0003DMG400000824	bHLH
PGSC0003DMP400001571	PGSC0003DMG400000824	bHLH
PGSC0003DMP400001684	PGSC0003DMG400000887	NAC
PGSC0003DMP400001828	PGSC0003DMG400000958	bHLH
PGSC0003DMP400001856	PGSC0003DMG400000974	LBD
PGSC0003DMP400002142	PGSC0003DMG400001161	bHLH
PGSC0003DMP400002220	PGSC0003DMG400001223	NAC
PGSC0003DMP400002324	PGSC0003DMG400001296	E2F/DP
PGSC0003DMP400002325	PGSC0003DMG400001296	E2F/DP
PGSC0003DMP400002326	PGSC0003DMG400001296	E2F/DP
PGSC0003DMP400002374	PGSC0003DMG400001323	NAC
PGSC0003DMP400002375	PGSC0003DMG400001323	NAC
PGSC0003DMP400002386	PGSC0003DMG400001330	Dof
PGSC0003DMP400002387	PGSC0003DMG400001330	Dof
PGSC0003DMP400002396	PGSC0003DMG400001338	NAC
PGSC0003DMP400002397	PGSC0003DMG400001338	NAC
PGSC0003DMP400002457	PGSC0003DMG400001362	TCP
PGSC0003DMP400002458	PGSC0003DMG400001362	TCP
PGSC0003DMP400002507	PGSC0003DMG400001387	bZIP
PGSC0003DMP400002559	PGSC0003DMG400001418	bHLH
PGSC0003DMP400002597	PGSC0003DMG400001434	WRKY
PGSC0003DMP400002598	PGSC0003DMG400001434	WRKY
PGSC0003DMP400002820	PGSC0003DMG400001556	GRAS
PGSC0003DMP400002886	PGSC0003DMG400001594	bHLH
PGSC0003DMP400002887	PGSC0003DMG400001594	bHLH
PGSC0003DMP400002986	PGSC0003DMG400001659	bZIP
PGSC0003DMP400002987	PGSC0003DMG400001660	BBR-BPC
PGSC0003DMP400003048	PGSC0003DMG400001696	Trihelix
PGSC0003DMP400003112	PGSC0003DMG400001733	NF-YB
PGSC0003DMP400003113	PGSC0003DMG400001733	NF-YB
PGSC0003DMP400003165	PGSC0003DMG400001772	S1Fa-like
PGSC0003DMP400003166	PGSC0003DMG400001772	S1Fa-like
PGSC0003DMP400003167	PGSC0003DMG400001772	S1Fa-like
PGSC0003DMP400003204	PGSC0003DMG400001791	bHLH
PGSC0003DMP400003676	PGSC0003DMG400002056	bHLH
PGSC0003DMP400003753	PGSC0003DMG400002092	NAC
PGSC0003DMP400003806	PGSC0003DMG400002125	bHLH
PGSC0003DMP400003807	PGSC0003DMG400002125	bHLH
PGSC0003DMP400003828	PGSC0003DMG400002139	GRAS
PGSC0003DMP400003829	PGSC0003DMG400002139	GRAS
PGSC0003DMP400003830	PGSC0003DMG400002139	GRAS
PGSC0003DMP400004168	PGSC0003DMG400002337	GATA
PGSC0003DMP400004388	PGSC0003DMG400002484	NF-YA
PGSC0003DMP400004389	PGSC0003DMG400002484	NF-YA
PGSC0003DMP400004390	PGSC0003DMG400002484	NF-YA
PGSC0003DMP400004391	PGSC0003DMG400002484	NF-YA
PGSC0003DMP400004392	PGSC0003DMG400002484	NF-YA
PGSC0003DMP400004393	PGSC0003DMG400002484	NF-YA
PGSC0003DMP400004435	PGSC0003DMG400002507	Dof
PGSC0003DMP400004456	PGSC0003DMG400002515	bHLH
PGSC0003DMP400004457	PGSC0003DMG400002515	bHLH
PGSC0003DMP400004458	PGSC0003DMG400002515	bHLH
PGSC0003DMP400004491	PGSC0003DMG401002532	GATA
PGSC0003DMP400004713	PGSC0003DMG400002630	bHLH
PGSC0003DMP400004764	PGSC0003DMG400002660	bZIP
PGSC0003DMP400004801	PGSC0003DMG401002683	HSF
PGSC0003DMP400004805	PGSC0003DMG401002683	HSF
PGSC0003DMP400004806	PGSC0003DMG401002683	HSF
PGSC0003DMP400004807	PGSC0003DMG401002683	HSF
PGSC0003DMP400004863	PGSC0003DMG400002710	Trihelix
PGSC0003DMP400004864	PGSC0003DMG400002710	Trihelix
PGSC0003DMP400004903	PGSC0003DMG400002727	Trihelix
PGSC0003DMP400004904	PGSC0003DMG400002728	Trihelix
PGSC0003DMP400004976	PGSC0003DMG402002771	bZIP
PGSC0003DMP400005111	PGSC0003DMG400002824	NAC
PGSC0003DMP400005168	PGSC0003DMG400002859	bHLH
PGSC0003DMP400005199	PGSC0003DMG400002883	YABBY
PGSC0003DMP400005200	PGSC0003DMG400002883	YABBY
PGSC0003DMP400005367	PGSC0003DMG400002988	YABBY
PGSC0003DMP400005473	PGSC0003DMG400003047	GRAS
PGSC0003DMP400005474	PGSC0003DMG400003047	GRAS
PGSC0003DMP400005485	PGSC0003DMG400003053	HSF
PGSC0003DMP400005647	PGSC0003DMG400003126	GATA
PGSC0003DMP400005648	PGSC0003DMG400003126	GATA
PGSC0003DMP400005713	PGSC0003DMG400003160	HSF
PGSC0003DMP400005823	PGSC0003DMG400003231	bHLH
PGSC0003DMP400005913	PGSC0003DMG400003296	NF-YC
PGSC0003DMP400006021	PGSC0003DMG400003362	TCP
PGSC0003DMP400006051	PGSC0003DMG400003382	TCP
PGSC0003DMP400006052	PGSC0003DMG400003382	TCP
PGSC0003DMP400006077	PGSC0003DMG400003407	SRS
PGSC0003DMP400006251	PGSC0003DMG400003508	GATA
PGSC0003DMP400006253	PGSC0003DMG400003510	ZF-HD
PGSC0003DMP400006285	PGSC0003DMG400003529	bZIP
PGSC0003DMP400006324	PGSC0003DMG400003545	GATA
PGSC0003DMP400006325	PGSC0003DMG400003545	GATA
PGSC0003DMP400006326	PGSC0003DMG400003545	GATA
PGSC0003DMP400006327	PGSC0003DMG400003545	GATA
PGSC0003DMP400006339	PGSC0003DMG401003552	NAC
PGSC0003DMP400006341	PGSC0003DMG401003552	NAC
PGSC0003DMP400006342	PGSC0003DMG400003553	BBR-BPC
PGSC0003DMP400006343	PGSC0003DMG400003553	BBR-BPC
PGSC0003DMP400006375	PGSC0003DMG400003572	GeBP
PGSC0003DMP400006460	PGSC0003DMG400003616	SRS
PGSC0003DMP400006602	PGSC0003DMG400003701	bZIP
PGSC0003DMP400006630	PGSC0003DMG400003719	BBR-BPC
PGSC0003DMP400006631	PGSC0003DMG400003719	BBR-BPC
PGSC0003DMP400006632	PGSC0003DMG400003719	BBR-BPC
