TF_ID	Gene_ID	Family
Mapoly0093s0032.1.p	Mapoly0093s0032	RAV
Mapoly0072s0102.1.p	Mapoly0072s0102	RAV
Mapoly0001s0020.1.p	Mapoly0001s0020	Trihelix
Mapoly0001s0020.2.p	Mapoly0001s0020	Trihelix
Mapoly0001s0020.3.p	Mapoly0001s0020	Trihelix
Mapoly0001s0020.4.p	Mapoly0001s0020	Trihelix
Mapoly0001s0020.5.p	Mapoly0001s0020	Trihelix
Mapoly0001s0020.6.p	Mapoly0001s0020	Trihelix
Mapoly0001s0021.1.p	Mapoly0001s0021	bZIP
Mapoly0001s0028.1.p	Mapoly0001s0028	NF-YC
Mapoly0001s0192.1.p	Mapoly0001s0192	Dof
Mapoly0001s0259.1.p	Mapoly0001s0259	bHLH
Mapoly0001s0298.1.p	Mapoly0001s0298	TCP
Mapoly0001s0298.2.p	Mapoly0001s0298	TCP
Mapoly0001s0298.3.p	Mapoly0001s0298	TCP
Mapoly0001s0298.4.p	Mapoly0001s0298	TCP
Mapoly0001s0312.1.p	Mapoly0001s0312	Trihelix
Mapoly0001s0312.2.p	Mapoly0001s0312	Trihelix
Mapoly0001s0312.3.p	Mapoly0001s0312	Trihelix
Mapoly0001s0385.1.p	Mapoly0001s0385	GRAS
Mapoly0002s0031.1.p	Mapoly0002s0031	Trihelix
Mapoly0002s0032.1.p	Mapoly0002s0032	Trihelix
Mapoly0002s0172.1.p	Mapoly0002s0172	Trihelix
Mapoly0002s0204.1.p	Mapoly0002s0204	Trihelix
Mapoly0002s0204.2.p	Mapoly0002s0204	Trihelix
Mapoly0002s0204.3.p	Mapoly0002s0204	Trihelix
Mapoly0003s0164.1.p	Mapoly0003s0164	Trihelix
Mapoly0003s0271.1.p	Mapoly0003s0271	GRAS
Mapoly0003s0288.1.p	Mapoly0003s0288	Trihelix
Mapoly0004s0047.1.p	Mapoly0004s0047	LBD
Mapoly0005s0077.1.p	Mapoly0005s0077	GATA
Mapoly0005s0077.4.p	Mapoly0005s0077	GATA
Mapoly0005s0077.5.p	Mapoly0005s0077	GATA
Mapoly0005s0077.6.p	Mapoly0005s0077	GATA
Mapoly0005s0077.9.p	Mapoly0005s0077	GATA
Mapoly0005s0152.1.p	Mapoly0005s0152	NF-YC
Mapoly0005s0212.1.p	Mapoly0005s0212	GATA
Mapoly0007s0001.1.p	Mapoly0007s0001	WRKY
Mapoly0007s0056.1.p	Mapoly0007s0056	bZIP
Mapoly0007s0156.1.p	Mapoly0007s0156	Whirly
Mapoly0008s0031.1.p	Mapoly0008s0031	SBP
Mapoly0008s0060.1.p	Mapoly0008s0060	LBD
Mapoly0008s0159.1.p	Mapoly0008s0159	WRKY
Mapoly0008s0159.2.p	Mapoly0008s0159	WRKY
Mapoly0009s0166.1.p	Mapoly0009s0166	LBD
Mapoly0011s0011.1.p	Mapoly0011s0011	Trihelix
Mapoly0011s0037.1.p	Mapoly0011s0037	LBD
Mapoly0011s0057.1.p	Mapoly0011s0057	Trihelix
Mapoly0011s0057.2.p	Mapoly0011s0057	Trihelix
Mapoly0011s0171.1.p	Mapoly0011s0171	STAT
Mapoly0011s0176.1.p	Mapoly0011s0176	NAC
Mapoly0011s0205.1.p	Mapoly0011s0205	HSF
Mapoly0012s0026.1.p	Mapoly0012s0026	bHLH
Mapoly0012s0172.1.p	Mapoly0012s0172	bZIP
Mapoly0012s0202.1.p	Mapoly0012s0202	bHLH
Mapoly0013s0054.1.p	Mapoly0013s0054	BES1
Mapoly0013s0167.1.p	Mapoly0013s0167	bHLH
Mapoly0014s0044.1.p	Mapoly0014s0044	Nin-like
Mapoly0014s0044.2.p	Mapoly0014s0044	Nin-like
Mapoly0014s0044.3.p	Mapoly0014s0044	Nin-like
Mapoly0014s0183.1.p	Mapoly0014s0183	GRAS
Mapoly0014s0223.1.p	Mapoly0014s0223	SBP
Mapoly0014s0224.1.p	Mapoly0014s0224	SBP
Mapoly0015s0001.1.p	Mapoly0015s0001	bHLH
Mapoly0015s0003.1.p	Mapoly0015s0003	bHLH
Mapoly0015s0003.2.p	Mapoly0015s0003	bHLH
Mapoly0015s0003.3.p	Mapoly0015s0003	bHLH
Mapoly0015s0003.4.p	Mapoly0015s0003	bHLH
Mapoly0015s0003.5.p	Mapoly0015s0003	bHLH
Mapoly0015s0003.6.p	Mapoly0015s0003	bHLH
Mapoly0015s0005.1.p	Mapoly0015s0005	bZIP
Mapoly0015s0058.1.p	Mapoly0015s0058	NAC
Mapoly0015s0121.1.p	Mapoly0015s0121	Trihelix
Mapoly0016s0098.1.p	Mapoly0016s0098	bZIP
Mapoly0016s0098.2.p	Mapoly0016s0098	bZIP
Mapoly0016s0110.1.p	Mapoly0016s0110	bHLH
Mapoly0017s0009.1.p	Mapoly0017s0009	GATA
Mapoly0018s0001.1.p	Mapoly0018s0001	HSF
Mapoly0018s0001.2.p	Mapoly0018s0001	HSF
Mapoly0018s0011.1.p	Mapoly0018s0011	BBR-BPC
Mapoly0018s0011.2.p	Mapoly0018s0011	BBR-BPC
Mapoly0018s0018.1.p	Mapoly0018s0018	bHLH
Mapoly0019s0040.1.p	Mapoly0019s0040	bZIP
Mapoly0019s0040.2.p	Mapoly0019s0040	bZIP
Mapoly0019s0096.1.p	Mapoly0019s0096	BES1
Mapoly0019s0134.1.p	Mapoly0019s0134	SBP
Mapoly0019s0144.1.p	Mapoly0019s0144	NF-YA
Mapoly0020s0051.1.p	Mapoly0020s0051	NAC
Mapoly0021s0100.1.p	Mapoly0021s0100	bHLH
Mapoly0021s0101.1.p	Mapoly0021s0101	bHLH
Mapoly0022s0095.1.p	Mapoly0022s0095	bZIP
Mapoly0022s0095.2.p	Mapoly0022s0095	bZIP
Mapoly0022s0128.1.p	Mapoly0022s0128	Nin-like
Mapoly0023s0118.1.p	Mapoly0023s0118	CPP
Mapoly0024s0106.1.p	Mapoly0024s0106	bHLH
Mapoly0025s0044.1.p	Mapoly0025s0044	bHLH
Mapoly0025s0044.2.p	Mapoly0025s0044	bHLH
Mapoly0025s0112.1.p	Mapoly0025s0112	Trihelix
Mapoly0026s0039.1.p	Mapoly0026s0039	bZIP
Mapoly0026s0039.2.p	Mapoly0026s0039	bZIP
Mapoly0026s0039.3.p	Mapoly0026s0039	bZIP
Mapoly0026s0039.4.p	Mapoly0026s0039	bZIP
Mapoly0026s0039.5.p	Mapoly0026s0039	bZIP
Mapoly0026s0039.6.p	Mapoly0026s0039	bZIP
Mapoly0026s0039.7.p	Mapoly0026s0039	bZIP
Mapoly0026s0039.8.p	Mapoly0026s0039	bZIP
Mapoly0027s0069.1.p	Mapoly0027s0069	WRKY
Mapoly0028s0058.1.p	Mapoly0028s0058	bHLH
Mapoly0028s0060.1.p	Mapoly0028s0060	bHLH
Mapoly0028s0062.1.p	Mapoly0028s0062	bHLH
Mapoly0028s0062.2.p	Mapoly0028s0062	bHLH
Mapoly0028s0100.1.p	Mapoly0028s0100	bHLH
Mapoly0028s0101.1.p	Mapoly0028s0101	bHLH
Mapoly0028s0101.2.p	Mapoly0028s0101	bHLH
Mapoly0028s0101.3.p	Mapoly0028s0101	bHLH
Mapoly0028s0101.4.p	Mapoly0028s0101	bHLH
Mapoly0029s0049.1.p	Mapoly0029s0049	NF-YC
Mapoly0029s0049.2.p	Mapoly0029s0049	NF-YC
Mapoly0029s0130.1.p	Mapoly0029s0130	bHLH
Mapoly0029s0130.2.p	Mapoly0029s0130	bHLH
Mapoly0029s0135.1.p	Mapoly0029s0135	bHLH
Mapoly0030s0141.1.p	Mapoly0030s0141	bHLH
Mapoly0031s0041.1.p	Mapoly0031s0041	GRAS
Mapoly0031s0072.1.p	Mapoly0031s0072	bHLH
Mapoly0031s0074.1.p	Mapoly0031s0074	bHLH
Mapoly0031s0075.1.p	Mapoly0031s0075	bHLH
Mapoly0031s0076.1.p	Mapoly0031s0076	bHLH
Mapoly0031s0161.1.p	Mapoly0031s0161	bHLH
Mapoly0031s0161.2.p	Mapoly0031s0161	bHLH
Mapoly0031s0161.3.p	Mapoly0031s0161	bHLH
