TF_ID	Gene_ID	Family
Bv6_142620_qrgc.t1	Bv6_142620_qrgc	RAV
Bv5_100380_txhd.t1	Bv5_100380_txhd	RAV
Bv6_128370_kakc.t1	Bv6_128370_kakc	RAV
Bv_000470_dyzk.t1	Bv_000470_dyzk	NAC
Bv_000470_dyzk.t2	Bv_000470_dyzk	NAC
Bv_000470_dyzk.t3	Bv_000470_dyzk	NAC
Bv_000550_zstx.t1	Bv_000550_zstx	WRKY
Bv_001490_yywz.t1	Bv_001490_yywz	SBP
Bv_002120_fpmp.t1	Bv_002120_fpmp	NF-YA
Bv_002510_sgmx.t1	Bv_002510_sgmx	WRKY
Bv_003250_arsd.t1	Bv_003250_arsd	HSF
Bv_004330_qxaa.t1	Bv_004330_qxaa	bHLH
Bv_005360_xxys.t1	Bv_005360_xxys	bZIP
Bv_005810_knjd.t1	Bv_005810_knjd	bHLH
Bv_006040_unrk.t1	Bv_006040_unrk	LFY
Bv_006550_ktwy.t1	Bv_006550_ktwy	LBD
Bv_007480_aapr.t1	Bv_007480_aapr	NF-YB
Bv_007620_enci.t1	Bv_007620_enci	GATA
Bv_007910_uwzj.t1	Bv_007910_uwzj	bHLH
Bv_007910_uwzj.t2	Bv_007910_uwzj	bHLH
Bv_007920_ifhw.t1	Bv_007920_ifhw	bHLH
Bv_008610_rmtz.t1	Bv_008610_rmtz	bHLH
Bv_010700_xqkf.t1	Bv_010700_xqkf	SBP
Bv_011410_ndfg.t1	Bv_011410_ndfg	bZIP
Bv_011420_aoao.t1	Bv_011420_aoao	GRAS
Bv_011610_tatm.t1	Bv_011610_tatm	BBR-BPC
Bv_011800_xokj.t1	Bv_011800_xokj	bHLH
Bv_012640_iicn.t1	Bv_012640_iicn	bZIP
Bv_012640_iicn.t2	Bv_012640_iicn	bZIP
Bv_015870_rhiy.t1	Bv_015870_rhiy	FAR1
Bv_016000_frag.t1	Bv_016000_frag	LBD
Bv_023860_wmog.t1	Bv_023860_wmog	NF-YC
Bv_026410_hops.t1	Bv_026410_hops	NF-YB
Bv_030250_atid.t1	Bv_030250_atid	HSF
Bv1_000760_ymmj.t1	Bv1_000760_ymmj	GRAS
Bv1_001030_strk.t1	Bv1_001030_strk	NAC
Bv1_001500_zhap.t1	Bv1_001500_zhap	bHLH
Bv1_001500_zhap.t2	Bv1_001500_zhap	bHLH
Bv1_001950_ekgh.t1	Bv1_001950_ekgh	NAC
Bv1_002090_gcco.t1	Bv1_002090_gcco	bHLH
Bv1_002240_rapp.t1	Bv1_002240_rapp	NAC
Bv1_002400_iagh.t1	Bv1_002400_iagh	bHLH
Bv1_002710_kgfs.t1	Bv1_002710_kgfs	Dof
Bv1_002900_doao.t1	Bv1_002900_doao	bHLH
Bv1_003380_qcmg.t1	Bv1_003380_qcmg	WRKY
Bv1_003640_tkfj.t1	Bv1_003640_tkfj	bZIP
Bv1_003850_jyhg.t1	Bv1_003850_jyhg	NF-YB
Bv1_003850_jyhg.t2	Bv1_003850_jyhg	NF-YB
Bv1_003980_zfhn.t1	Bv1_003980_zfhn	WRKY
Bv1_004020_hacp.t1	Bv1_004020_hacp	WRKY
Bv1_004730_qnjn.t1	Bv1_004730_qnjn	BES1
Bv1_005060_wsok.t1	Bv1_005060_wsok	BBR-BPC
Bv1_005070_wokp.t1	Bv1_005070_wokp	bZIP
Bv1_005490_zgmm.t1	Bv1_005490_zgmm	GATA
Bv1_005530_awpg.t1	Bv1_005530_awpg	GATA
Bv1_006310_qmia.t1	Bv1_006310_qmia	SRS
Bv1_006910_rqak.t1	Bv1_006910_rqak	bZIP
