TF_ID	Gene_ID	Family
Lj2g3v1171110.1	Lj2g3v1171110	RAV
Lj5g3v1776170.1	Lj5g3v1776170	RAV
Lj5g3v2300330.1	Lj5g3v2300330	RAV
Lj0g3v0004489.1	Lj0g3v0004489	TCP
Lj0g3v0007479.1	Lj0g3v0007479	bZIP
Lj0g3v0013729.1	Lj0g3v0013729	WRKY
Lj0g3v0017149.1	Lj0g3v0017149	bZIP
Lj0g3v0017249.1	Lj0g3v0017249	GRAS
Lj0g3v0034169.1	Lj0g3v0034169	bHLH
Lj0g3v0040729.1	Lj0g3v0040729	TCP
Lj0g3v0043059.1	Lj0g3v0043059	WRKY
Lj0g3v0050659.1	Lj0g3v0050659	SAP
Lj0g3v0050669.1	Lj0g3v0050669	SAP
Lj0g3v0055089.1	Lj0g3v0055089	Trihelix
Lj0g3v0056309.1	Lj0g3v0056309	bHLH
Lj0g3v0057219.1	Lj0g3v0057219	TCP
Lj0g3v0057709.2	Lj0g3v0057709	SBP
Lj0g3v0057709.3	Lj0g3v0057709	SBP
Lj0g3v0058429.1	Lj0g3v0058429	WRKY
Lj0g3v0058889.1	Lj0g3v0058889	ZF-HD
Lj0g3v0059359.1	Lj0g3v0059359	SRS
Lj0g3v0059989.1	Lj0g3v0059989	FAR1
Lj0g3v0063509.1	Lj0g3v0063509	bHLH
Lj0g3v0067609.1	Lj0g3v0067609	WRKY
Lj0g3v0069559.1	Lj0g3v0069559	bHLH
Lj0g3v0072869.1	Lj0g3v0072869	NZZ/SPL
Lj0g3v0072869.2	Lj0g3v0072869	NZZ/SPL
Lj0g3v0074419.1	Lj0g3v0074419	WRKY
Lj0g3v0077969.1	Lj0g3v0077969	LBD
Lj0g3v0079069.1	Lj0g3v0079069	WRKY
Lj0g3v0084249.1	Lj0g3v0084249	bHLH
Lj0g3v0085139.1	Lj0g3v0085139	FAR1
Lj0g3v0087799.1	Lj0g3v0087799	bZIP
Lj0g3v0087799.2	Lj0g3v0087799	bZIP
Lj0g3v0087799.3	Lj0g3v0087799	bZIP
Lj0g3v0093809.1	Lj0g3v0093809	bZIP
Lj0g3v0096669.1	Lj0g3v0096669	LBD
Lj0g3v0096699.1	Lj0g3v0096699	bHLH
Lj0g3v0096959.1	Lj0g3v0096959	GRAS
Lj0g3v0096969.1	Lj0g3v0096969	GRAS
Lj0g3v0096969.2	Lj0g3v0096969	GRAS
Lj0g3v0097299.1	Lj0g3v0097299	GATA
Lj0g3v0099329.1	Lj0g3v0099329	NAC
Lj0g3v0099719.1	Lj0g3v0099719	bHLH
Lj0g3v0101599.1	Lj0g3v0101599	NF-X1
Lj0g3v0102869.1	Lj0g3v0102869	NAC
Lj0g3v0103979.1	Lj0g3v0103979	NAC
Lj0g3v0104919.1	Lj0g3v0104919	NAC
Lj0g3v0104919.2	Lj0g3v0104919	NAC
Lj0g3v0105629.1	Lj0g3v0105629	bHLH
Lj0g3v0106459.1	Lj0g3v0106459	Dof
Lj0g3v0109969.1	Lj0g3v0109969	NAC
Lj0g3v0116339.1	Lj0g3v0116339	LBD
Lj0g3v0116349.1	Lj0g3v0116349	LBD
Lj0g3v0121279.1	Lj0g3v0121279	CAMTA
Lj0g3v0121629.1	Lj0g3v0121629	bHLH
Lj0g3v0121789.1	Lj0g3v0121789	VOZ
Lj0g3v0121789.2	Lj0g3v0121789	VOZ
Lj0g3v0122049.1	Lj0g3v0122049	NF-YB
Lj0g3v0122049.2	Lj0g3v0122049	NF-YB
Lj0g3v0122049.3	Lj0g3v0122049	NF-YB
Lj0g3v0123959.1	Lj0g3v0123959	bHLH
Lj0g3v0126899.1	Lj0g3v0126899	bHLH
Lj0g3v0126899.2	Lj0g3v0126899	bHLH
Lj0g3v0128449.1	Lj0g3v0128449	TCP
Lj0g3v0130139.1	Lj0g3v0130139	Trihelix
Lj0g3v0130569.1	Lj0g3v0130569	WRKY
Lj0g3v0130909.1	Lj0g3v0130909	GRAS
Lj0g3v0131909.1	Lj0g3v0131909	bHLH
Lj0g3v0133049.1	Lj0g3v0133049	bZIP
Lj0g3v0134409.1	Lj0g3v0134409	bHLH
Lj0g3v0134509.1	Lj0g3v0134509	LBD
Lj0g3v0135239.1	Lj0g3v0135239	GRAS
Lj0g3v0136299.1	Lj0g3v0136299	FAR1
Lj0g3v0137349.1	Lj0g3v0137349	CAMTA
Lj0g3v0139439.1	Lj0g3v0139439	BBR-BPC
Lj0g3v0140069.1	Lj0g3v0140069	bHLH
Lj0g3v0140319.1	Lj0g3v0140319	TCP
Lj0g3v0140659.1	Lj0g3v0140659	SBP
Lj0g3v0141839.1	Lj0g3v0141839	bHLH
Lj0g3v0146729.1	Lj0g3v0146729	WRKY
Lj0g3v0146729.2	Lj0g3v0146729	WRKY
Lj0g3v0146729.3	Lj0g3v0146729	WRKY
Lj0g3v0151119.1	Lj0g3v0151119	bHLH
Lj0g3v0151399.1	Lj0g3v0151399	NAC
Lj0g3v0154199.3	Lj0g3v0154199	FAR1
Lj0g3v0155359.1	Lj0g3v0155359	NAC
Lj0g3v0157999.1	Lj0g3v0157999	bHLH
Lj0g3v0158379.1	Lj0g3v0158379	GRAS
Lj0g3v0161759.1	Lj0g3v0161759	YABBY
Lj0g3v0161759.2	Lj0g3v0161759	YABBY
Lj0g3v0161759.3	Lj0g3v0161759	YABBY
Lj0g3v0161759.4	Lj0g3v0161759	YABBY
Lj0g3v0161759.5	Lj0g3v0161759	YABBY
Lj0g3v0161769.1	Lj0g3v0161769	YABBY
Lj0g3v0161989.1	Lj0g3v0161989	bZIP
Lj0g3v0162929.1	Lj0g3v0162929	WRKY
Lj0g3v0163799.1	Lj0g3v0163799	Whirly
Lj0g3v0163799.2	Lj0g3v0163799	Whirly
Lj0g3v0164269.1	Lj0g3v0164269	GATA
Lj0g3v0167569.1	Lj0g3v0167569	GATA
Lj0g3v0167589.1	Lj0g3v0167589	bHLH
Lj0g3v0167879.1	Lj0g3v0167879	GRAS
Lj0g3v0169309.1	Lj0g3v0169309	Nin-like
Lj0g3v0170469.1	Lj0g3v0170469	bZIP
Lj0g3v0171479.1	Lj0g3v0171479	NAC
Lj0g3v0173119.1	Lj0g3v0173119	NF-YB
Lj0g3v0173119.2	Lj0g3v0173119	NF-YB
Lj0g3v0173869.1	Lj0g3v0173869	bHLH
Lj0g3v0173869.2	Lj0g3v0173869	bHLH
Lj0g3v0177679.1	Lj0g3v0177679	bHLH
Lj0g3v0178269.1	Lj0g3v0178269	HSF
Lj0g3v0179799.1	Lj0g3v0179799	WRKY
Lj0g3v0182089.1	Lj0g3v0182089	GRAS
Lj0g3v0184459.1	Lj0g3v0184459	NAC
Lj0g3v0185399.1	Lj0g3v0185399	Trihelix
Lj0g3v0186939.1	Lj0g3v0186939	bHLH
Lj0g3v0187859.1	Lj0g3v0187859	NAC
Lj0g3v0190219.1	Lj0g3v0190219	YABBY
Lj0g3v0190909.1	Lj0g3v0190909	TCP
Lj0g3v0192469.1	Lj0g3v0192469	NAC
Lj0g3v0195439.1	Lj0g3v0195439	bHLH
Lj0g3v0196179.1	Lj0g3v0196179	Trihelix
Lj0g3v0196189.2	Lj0g3v0196189	Trihelix
Lj0g3v0196239.1	Lj0g3v0196239	bZIP
Lj0g3v0196689.1	Lj0g3v0196689	GATA
Lj0g3v0198369.1	Lj0g3v0198369	NAC
Lj0g3v0198369.2	Lj0g3v0198369	NAC
Lj0g3v0198459.1	Lj0g3v0198459	GRAS
Lj0g3v0198619.1	Lj0g3v0198619	NAC
Lj0g3v0201259.1	Lj0g3v0201259	bZIP
Lj0g3v0202299.1	Lj0g3v0202299	bHLH
Lj0g3v0202329.1	Lj0g3v0202329	bHLH
Lj0g3v0202379.1	Lj0g3v0202379	bHLH
Lj0g3v0202379.2	Lj0g3v0202379	bHLH
Lj0g3v0205169.1	Lj0g3v0205169	GeBP
Lj0g3v0206489.1	Lj0g3v0206489	GRAS
Lj0g3v0208309.1	Lj0g3v0208309	WRKY
Lj0g3v0209729.1	Lj0g3v0209729	NF-YB
Lj0g3v0213049.1	Lj0g3v0213049	CPP
Lj0g3v0215159.1	Lj0g3v0215159	FAR1
Lj0g3v0215159.2	Lj0g3v0215159	FAR1
Lj0g3v0215159.3	Lj0g3v0215159	FAR1
Lj0g3v0220789.1	Lj0g3v0220789	GRAS
Lj0g3v0223189.1	Lj0g3v0223189	NAC
Lj0g3v0223189.2	Lj0g3v0223189	NAC
Lj0g3v0224079.1	Lj0g3v0224079	WRKY
Lj0g3v0224429.1	Lj0g3v0224429	GATA
Lj0g3v0224509.1	Lj0g3v0224509	FAR1
Lj0g3v0224609.1	Lj0g3v0224609	ZF-HD
Lj0g3v0229569.1	Lj0g3v0229569	ZF-HD
Lj0g3v0229739.1	Lj0g3v0229739	ZF-HD
Lj0g3v0232569.1	Lj0g3v0232569	FAR1
Lj0g3v0233949.1	Lj0g3v0233949	Dof
Lj0g3v0234069.1	Lj0g3v0234069	bHLH
Lj0g3v0234069.2	Lj0g3v0234069	bHLH
Lj0g3v0236609.1	Lj0g3v0236609	bZIP
Lj0g3v0236609.2	Lj0g3v0236609	bZIP
Lj0g3v0238279.1	Lj0g3v0238279	WRKY
Lj0g3v0239739.1	Lj0g3v0239739	bZIP
Lj0g3v0240279.1	Lj0g3v0240279	WRKY
Lj0g3v0242439.1	Lj0g3v0242439	WRKY
Lj0g3v0244439.1	Lj0g3v0244439	WRKY
Lj0g3v0246749.1	Lj0g3v0246749	Dof
Lj0g3v0246999.1	Lj0g3v0246999	bZIP
Lj0g3v0248869.1	Lj0g3v0248869	WRKY
Lj0g3v0249079.1	Lj0g3v0249079	FAR1
Lj0g3v0252369.1	Lj0g3v0252369	NF-YA
Lj0g3v0252429.1	Lj0g3v0252429	LBD
Lj0g3v0252679.1	Lj0g3v0252679	Dof
Lj0g3v0254589.1	Lj0g3v0254589	WRKY
Lj0g3v0255469.1	Lj0g3v0255469	TCP
Lj0g3v0256519.1	Lj0g3v0256519	WRKY
Lj0g3v0258549.1	Lj0g3v0258549	SRS
Lj0g3v0259039.1	Lj0g3v0259039	Trihelix
Lj0g3v0259819.1	Lj0g3v0259819	E2F/DP
Lj0g3v0259819.2	Lj0g3v0259819	E2F/DP
Lj0g3v0261399.1	Lj0g3v0261399	Trihelix
Lj0g3v0261399.2	Lj0g3v0261399	Trihelix
Lj0g3v0262869.1	Lj0g3v0262869	LBD
Lj0g3v0264669.1	Lj0g3v0264669	EIL
Lj0g3v0265999.1	Lj0g3v0265999	GRAS
Lj0g3v0268559.1	Lj0g3v0268559	bZIP
Lj0g3v0268869.1	Lj0g3v0268869	ZF-HD
Lj0g3v0268879.1	Lj0g3v0268879	ZF-HD
Lj0g3v0268999.1	Lj0g3v0268999	GRAS
Lj0g3v0272799.1	Lj0g3v0272799	WRKY
Lj0g3v0272799.2	Lj0g3v0272799	WRKY
Lj0g3v0272799.3	Lj0g3v0272799	WRKY
Lj0g3v0273489.1	Lj0g3v0273489	GATA
Lj0g3v0273489.2	Lj0g3v0273489	GATA
Lj0g3v0274819.1	Lj0g3v0274819	SBP
Lj0g3v0274819.2	Lj0g3v0274819	SBP
Lj0g3v0274819.3	Lj0g3v0274819	SBP
Lj0g3v0274859.1	Lj0g3v0274859	WRKY
Lj0g3v0274869.1	Lj0g3v0274869	WRKY
Lj0g3v0275009.1	Lj0g3v0275009	bZIP
Lj0g3v0276629.1	Lj0g3v0276629	bHLH
Lj0g3v0277829.1	Lj0g3v0277829	EIL
Lj0g3v0277879.1	Lj0g3v0277879	GRAS
Lj0g3v0277879.2	Lj0g3v0277879	GRAS
Lj0g3v0279629.1	Lj0g3v0279629	GeBP
Lj0g3v0279639.1	Lj0g3v0279639	GeBP
Lj0g3v0279809.1	Lj0g3v0279809	bZIP
Lj0g3v0280059.1	Lj0g3v0280059	Nin-like
Lj0g3v0280689.1	Lj0g3v0280689	bZIP
Lj0g3v0280689.2	Lj0g3v0280689	bZIP
Lj0g3v0280989.1	Lj0g3v0280989	GRAS
Lj0g3v0282189.1	Lj0g3v0282189	bHLH
Lj0g3v0282379.1	Lj0g3v0282379	bZIP
Lj0g3v0282449.1	Lj0g3v0282449	bHLH
Lj0g3v0283229.1	Lj0g3v0283229	bHLH
Lj0g3v0283609.1	Lj0g3v0283609	bHLH
Lj0g3v0283609.2	Lj0g3v0283609	bHLH
Lj0g3v0283609.3	Lj0g3v0283609	bHLH
Lj0g3v0283859.1	Lj0g3v0283859	GRAS
Lj0g3v0284269.1	Lj0g3v0284269	WRKY
Lj0g3v0287339.1	Lj0g3v0287339	LBD
Lj0g3v0288169.1	Lj0g3v0288169	WRKY
Lj0g3v0289579.1	Lj0g3v0289579	bZIP
Lj0g3v0291209.1	Lj0g3v0291209	Dof
Lj0g3v0291669.1	Lj0g3v0291669	GeBP
Lj0g3v0292459.1	Lj0g3v0292459	E2F/DP
Lj0g3v0292619.1	Lj0g3v0292619	Dof
Lj0g3v0292769.1	Lj0g3v0292769	Trihelix
Lj0g3v0292969.1	Lj0g3v0292969	bHLH
Lj0g3v0293819.1	Lj0g3v0293819	bZIP
Lj0g3v0296049.1	Lj0g3v0296049	NAC
Lj0g3v0297209.1	Lj0g3v0297209	NAC
Lj0g3v0298769.1	Lj0g3v0298769	WRKY
Lj0g3v0299319.1	Lj0g3v0299319	bHLH
Lj0g3v0300259.1	Lj0g3v0300259	GRAS
Lj0g3v0300259.2	Lj0g3v0300259	GRAS
Lj0g3v0301149.1	Lj0g3v0301149	SBP
Lj0g3v0303659.1	Lj0g3v0303659	Trihelix
Lj0g3v0303739.1	Lj0g3v0303739	GRAS
Lj0g3v0304669.1	Lj0g3v0304669	FAR1
Lj0g3v0305759.1	Lj0g3v0305759	bHLH
Lj0g3v0306449.1	Lj0g3v0306449	ZF-HD
Lj0g3v0307149.1	Lj0g3v0307149	bHLH
Lj0g3v0310339.1	Lj0g3v0310339	GRAS
Lj0g3v0310349.1	Lj0g3v0310349	GRAS
Lj0g3v0312929.1	Lj0g3v0312929	bHLH
Lj0g3v0313589.1	Lj0g3v0313589	NF-YB
Lj0g3v0314579.1	Lj0g3v0314579	bZIP
Lj0g3v0314829.1	Lj0g3v0314829	GRAS
Lj0g3v0317419.1	Lj0g3v0317419	bZIP
Lj0g3v0318189.1	Lj0g3v0318189	bHLH
Lj0g3v0320919.1	Lj0g3v0320919	NAC
Lj0g3v0320969.1	Lj0g3v0320969	NAC
Lj0g3v0320969.2	Lj0g3v0320969	NAC
Lj0g3v0321019.1	Lj0g3v0321019	ZF-HD
Lj0g3v0321259.1	Lj0g3v0321259	FAR1
Lj0g3v0321769.1	Lj0g3v0321769	SBP
Lj0g3v0326419.1	Lj0g3v0326419	NF-YB
Lj0g3v0327669.2	Lj0g3v0327669	LBD
Lj0g3v0329749.1	Lj0g3v0329749	bZIP
Lj0g3v0331729.1	Lj0g3v0331729	Dof
Lj0g3v0334259.1	Lj0g3v0334259	Whirly
Lj0g3v0335699.1	Lj0g3v0335699	Dof
Lj0g3v0336269.1	Lj0g3v0336269	bZIP
Lj0g3v0336269.2	Lj0g3v0336269	bZIP
Lj0g3v0336749.1	Lj0g3v0336749	CPP
Lj0g3v0340829.1	Lj0g3v0340829	WRKY
Lj0g3v0340919.1	Lj0g3v0340919	HSF
Lj0g3v0341169.1	Lj0g3v0341169	LBD
Lj0g3v0341529.1	Lj0g3v0341529	bHLH
Lj0g3v0341529.2	Lj0g3v0341529	bHLH
Lj0g3v0343449.1	Lj0g3v0343449	bHLH
Lj0g3v0344429.2	Lj0g3v0344429	bHLH
Lj0g3v0346819.1	Lj0g3v0346819	NAC
Lj0g3v0347479.1	Lj0g3v0347479	bHLH
Lj0g3v0347519.1	Lj0g3v0347519	GRAS
Lj0g3v0348179.1	Lj0g3v0348179	LBD
Lj0g3v0349249.1	Lj0g3v0349249	NAC
Lj0g3v0349319.1	Lj0g3v0349319	GRAS
Lj0g3v0350599.1	Lj0g3v0350599	bZIP
Lj0g3v0351779.1	Lj0g3v0351779	NF-YC
Lj0g3v0351779.2	Lj0g3v0351779	NF-YC
Lj0g3v0352409.1	Lj0g3v0352409	NAC
Lj0g3v0352409.2	Lj0g3v0352409	NAC
Lj0g3v0353129.1	Lj0g3v0353129	NAC
Lj0g3v0355209.1	Lj0g3v0355209	NAC
Lj0g3v0357379.1	Lj0g3v0357379	WRKY
Lj0g3v0357719.1	Lj0g3v0357719	SRS
Lj0g3v0358659.1	Lj0g3v0358659	Nin-like
Lj0g3v0358669.1	Lj0g3v0358669	Nin-like
Lj0g3v0359189.2	Lj0g3v0359189	bHLH
Lj0g3v0360749.1	Lj0g3v0360749	BES1
Lj0g3v0363479.1	Lj0g3v0363479	GRAS
Lj0g3v0363549.1	Lj0g3v0363549	FAR1
Lj0g3v0363619.1	Lj0g3v0363619	Dof
Lj0g3v0363619.2	Lj0g3v0363619	Dof
Lj1g3v0051030.1	Lj1g3v0051030	LBD
Lj1g3v0101540.1	Lj1g3v0101540	TCP
Lj1g3v0114040.1	Lj1g3v0114040	CPP
Lj1g3v0162460.1	Lj1g3v0162460	FAR1
Lj1g3v0162460.2	Lj1g3v0162460	FAR1
Lj1g3v0162600.1	Lj1g3v0162600	GATA
Lj1g3v0183020.1	Lj1g3v0183020	bHLH
Lj1g3v0183020.2	Lj1g3v0183020	bHLH
Lj1g3v0244390.1	Lj1g3v0244390	ZF-HD
Lj1g3v0318690.1	Lj1g3v0318690	LBD
Lj1g3v0409040.1	Lj1g3v0409040	Dof
Lj1g3v0415900.1	Lj1g3v0415900	E2F/DP
Lj1g3v0426840.1	Lj1g3v0426840	bHLH
Lj1g3v0465620.1	Lj1g3v0465620	WRKY
Lj1g3v0491080.1	Lj1g3v0491080	ZF-HD
Lj1g3v0513130.1	Lj1g3v0513130	Dof
Lj1g3v0559150.1	Lj1g3v0559150	TCP
Lj1g3v0579530.1	Lj1g3v0579530	Dof
Lj1g3v0593350.1	Lj1g3v0593350	bHLH
Lj1g3v0726910.1	Lj1g3v0726910	bZIP
Lj1g3v0765580.1	Lj1g3v0765580	NAC
Lj1g3v0785930.1	Lj1g3v0785930	GRAS
Lj1g3v0826050.1	Lj1g3v0826050	NAC
Lj1g3v0947460.1	Lj1g3v0947460	bHLH
Lj1g3v0947460.2	Lj1g3v0947460	bHLH
Lj1g3v1091120.1	Lj1g3v1091120	NAC
Lj1g3v1091120.2	Lj1g3v1091120	NAC
Lj1g3v1091120.3	Lj1g3v1091120	NAC
Lj1g3v1134110.1	Lj1g3v1134110	WRKY
Lj1g3v1220240.1	Lj1g3v1220240	WRKY
Lj1g3v1265910.1	Lj1g3v1265910	Trihelix
Lj1g3v1290460.1	Lj1g3v1290460	GRAS
Lj1g3v1303700.1	Lj1g3v1303700	bHLH
Lj1g3v1304790.1	Lj1g3v1304790	NAC
Lj1g3v1304790.2	Lj1g3v1304790	NAC
Lj1g3v1306810.1	Lj1g3v1306810	NAC
Lj1g3v1318190.1	Lj1g3v1318190	NAC
