TF_ID	Gene_ID	Family
XP_010924129.1	LOC105047044	RAV
XP_010926493.1	LOC105048752	RAV
XP_010916479.1	LOC105041281	RAV
XP_010923453.1	LOC105046537	RAV
XP_010920198.1	LOC105044098	RAV
XP_010904551.1	LOC105031949	NAC
XP_010904552.1	LOC105031950	BES1
XP_010904562.1	LOC105031957	bHLH
XP_010904567.1	LOC105031962	LBD
XP_010904650.1	LOC105032026	NAC
XP_010904653.1	LOC105032028	bHLH
XP_010904654.1	LOC105032028	bHLH
XP_010904655.1	LOC105032028	bHLH
XP_010904656.1	LOC105032028	bHLH
XP_010904657.1	LOC105032028	bHLH
XP_010904658.1	LOC105032028	bHLH
XP_010904659.1	LOC105032028	bHLH
XP_010904660.1	LOC105032028	bHLH
XP_010904661.1	LOC105032028	bHLH
XP_010904690.1	LOC105032048	bZIP
XP_010904691.1	LOC105032048	bZIP
XP_010904748.1	LOC105032095	NAC
XP_010904856.1	LOC105032179	Nin-like
XP_010904865.1	LOC105032186	bHLH
XP_010904889.1	LOC105032206	VOZ
XP_010904916.1	LOC105032230	LBD
XP_010904917.1	LOC105032232	NAC
XP_010904958.1	LOC105032259	WRKY
XP_010905004.1	LOC105032296	YABBY
XP_010905080.1	LOC105032345	GRAS
XP_010905158.1	LOC105032410	bHLH
XP_010905214.1	LOC105032458	bHLH
XP_010905290.1	LOC105032527	GRAS
XP_010905292.1	LOC105032529	LBD
XP_010905298.1	LOC105032539	GRAS
XP_010905299.1	LOC105032539	GRAS
XP_010905300.1	LOC105032540	WRKY
XP_010905301.1	LOC105032540	WRKY
XP_010905422.1	LOC105032629	NF-YA
XP_010905423.1	LOC105032629	NF-YA
XP_010905424.1	LOC105032629	NF-YA
XP_010905425.1	LOC105032629	NF-YA
XP_010905494.1	LOC105032684	CAMTA
XP_010905635.1	LOC105032773	LBD
XP_010905636.1	LOC105032773	LBD
XP_010905648.1	LOC105032785	bHLH
XP_010905694.1	LOC105032817	FAR1
XP_010905695.1	LOC105032817	FAR1
XP_010905801.1	LOC105032915	NAC
XP_010905948.1	LOC105033019	bZIP
XP_010905949.1	LOC105033019	bZIP
XP_010906030.1	LOC105033074	NF-YA
XP_010906031.1	LOC105033074	NF-YA
XP_010906032.1	LOC105033074	NF-YA
XP_010906049.1	LOC105033091	LBD
XP_010906053.1	LOC105033099	NAC
XP_010906173.1	LOC105033184	NAC
XP_010906198.1	LOC105033207	NF-YB
XP_010906307.1	LOC105033274	GATA
XP_010906354.1	LOC105033314	YABBY
XP_010906412.1	LOC105033351	NF-YC
XP_010906413.1	LOC105033351	NF-YC
XP_010906504.1	LOC105033413	GATA
XP_010906505.1	LOC105033413	GATA
XP_010906525.1	LOC105033423	FAR1
XP_010906624.1	LOC105033492	NAC
XP_010906724.1	LOC105033559	NAC
XP_010906799.1	LOC105033624	NAC
XP_010906805.1	LOC105033626	bHLH
XP_010906815.1	LOC105033626	bHLH
XP_010906837.1	LOC105033650	LBD
XP_010906869.1	LOC105033674	WRKY
XP_010906881.1	LOC105033687	bHLH
XP_010906882.1	LOC105033687	bHLH
XP_010906883.1	LOC105033687	bHLH
XP_010906884.1	LOC105033687	bHLH
XP_010906970.1	LOC105033758	NF-YB
XP_010906971.1	LOC105033758	NF-YB
XP_010907101.1	LOC105033852	FAR1
XP_010907102.1	LOC105033852	FAR1
XP_010907103.1	LOC105033853	bZIP
XP_010907104.1	LOC105033853	bZIP
XP_010907113.1	LOC105033857	bZIP
XP_010907115.1	LOC105033857	bZIP
XP_010907212.1	LOC105033925	BES1
XP_010907240.1	LOC105033952	bHLH
XP_010907313.1	LOC105033995	NF-X1
XP_010907322.1	LOC105034001	SAP
XP_010907388.1	LOC105034062	bHLH
XP_010907500.1	LOC105034150	LBD
XP_010907516.1	LOC105034167	Dof
XP_010907517.1	LOC105034167	Dof
XP_010907518.1	LOC105034167	Dof
XP_010907519.1	LOC105034167	Dof
XP_010907545.1	LOC105034190	NAC
XP_010907582.1	LOC105034225	bZIP
XP_010907583.1	LOC105034225	bZIP
