TF_ID	Gene_ID	Family
Sme2.5_03858.1_g00003.1	Sme2.5_03858.1_g00003.1	RAV
Sme2.5_01860.1_g00006.1	Sme2.5_01860.1_g00006.1	RAV
Sme2.5_00001.1_g00035.1	Sme2.5_00001.1_g00035.1	LBD
Sme2.5_00001.1_g00049.1	Sme2.5_00001.1_g00049.1	GRAS
Sme2.5_00002.1_g00022.1	Sme2.5_00002.1_g00022.1	LBD
Sme2.5_00003.1_g00002.1	Sme2.5_00003.1_g00002.1	NAC
Sme2.5_00003.1_g00022.1	Sme2.5_00003.1_g00022.1	bZIP
Sme2.5_00003.1_g00023.1	Sme2.5_00003.1_g00023.1	BBR-BPC
Sme2.5_00003.1_g00040.1	Sme2.5_00003.1_g00040.1	SRS
Sme2.5_00004.1_g00003.1	Sme2.5_00004.1_g00003.1	TCP
Sme2.5_00006.1_g00008.1	Sme2.5_00006.1_g00008.1	NF-YC
Sme2.5_00007.1_g00009.1	Sme2.5_00007.1_g00009.1	FAR1
Sme2.5_00007.1_g00031.1	Sme2.5_00007.1_g00031.1	NF-YA
Sme2.5_00008.1_g00002.1	Sme2.5_00008.1_g00002.1	NAC
Sme2.5_00008.1_g00032.1	Sme2.5_00008.1_g00032.1	bHLH
Sme2.5_00009.1_g00017.1	Sme2.5_00009.1_g00017.1	WRKY
Sme2.5_00010.1_g00004.1	Sme2.5_00010.1_g00004.1	HSF
Sme2.5_00011.1_g00044.1	Sme2.5_00011.1_g00044.1	NAC
Sme2.5_00011.1_g00048.1	Sme2.5_00011.1_g00048.1	NF-YA
Sme2.5_00013.1_g00005.1	Sme2.5_00013.1_g00005.1	Dof
Sme2.5_00013.1_g00013.1	Sme2.5_00013.1_g00013.1	Nin-like
Sme2.5_00013.1_g00024.1	Sme2.5_00013.1_g00024.1	WRKY
Sme2.5_00013.1_g00025.1	Sme2.5_00013.1_g00025.1	WRKY
Sme2.5_00014.1_g00019.1	Sme2.5_00014.1_g00019.1	bHLH
Sme2.5_00014.1_g00024.1	Sme2.5_00014.1_g00024.1	LBD
Sme2.5_00014.1_g00032.1	Sme2.5_00014.1_g00032.1	NAC
Sme2.5_00015.1_g00030.1	Sme2.5_00015.1_g00030.1	GeBP
Sme2.5_00017.1_g00038.1	Sme2.5_00017.1_g00038.1	SBP
Sme2.5_00018.1_g00021.1	Sme2.5_00018.1_g00021.1	FAR1
Sme2.5_00019.1_g00022.1	Sme2.5_00019.1_g00022.1	Dof
Sme2.5_00019.1_g00026.1	Sme2.5_00019.1_g00026.1	LBD
Sme2.5_00023.1_g00025.1	Sme2.5_00023.1_g00025.1	HSF
Sme2.5_00026.1_g00020.1	Sme2.5_00026.1_g00020.1	Trihelix
Sme2.5_00029.1_g00003.1	Sme2.5_00029.1_g00003.1	bHLH
Sme2.5_00029.1_g00022.1	Sme2.5_00029.1_g00022.1	WRKY
Sme2.5_00030.1_g00008.1	Sme2.5_00030.1_g00008.1	FAR1
Sme2.5_00033.1_g00010.1	Sme2.5_00033.1_g00010.1	BES1
Sme2.5_00034.1_g00004.1	Sme2.5_00034.1_g00004.1	TCP
Sme2.5_00036.1_g00016.1	Sme2.5_00036.1_g00016.1	bHLH
Sme2.5_00037.1_g00027.1	Sme2.5_00037.1_g00027.1	TCP
Sme2.5_00038.1_g00016.1	Sme2.5_00038.1_g00016.1	WRKY
Sme2.5_00044.1_g00021.1	Sme2.5_00044.1_g00021.1	GATA
Sme2.5_00047.1_g00017.1	Sme2.5_00047.1_g00017.1	Dof
Sme2.5_00047.1_g00028.1	Sme2.5_00047.1_g00028.1	bHLH
Sme2.5_00057.1_g00016.1	Sme2.5_00057.1_g00016.1	bHLH
Sme2.5_00064.1_g00014.1	Sme2.5_00064.1_g00014.1	LBD
Sme2.5_00064.1_g00023.1	Sme2.5_00064.1_g00023.1	NAC
Sme2.5_00064.1_g00028.1	Sme2.5_00064.1_g00028.1	NAC
Sme2.5_00065.1_g00020.1	Sme2.5_00065.1_g00020.1	HSF
Sme2.5_00066.1_g00020.1	Sme2.5_00066.1_g00020.1	bHLH
Sme2.5_00068.1_g00032.1	Sme2.5_00068.1_g00032.1	LBD
Sme2.5_00076.1_g00002.1	Sme2.5_00076.1_g00002.1	NAC
Sme2.5_00076.1_g00015.1	Sme2.5_00076.1_g00015.1	E2F/DP
Sme2.5_00081.1_g00004.1	Sme2.5_00081.1_g00004.1	Trihelix
Sme2.5_00081.1_g00022.1	Sme2.5_00081.1_g00022.1	bHLH
Sme2.5_00085.1_g00016.1	Sme2.5_00085.1_g00016.1	bZIP
Sme2.5_00085.1_g00041.1	Sme2.5_00085.1_g00041.1	bZIP
Sme2.5_00088.1_g00006.1	Sme2.5_00088.1_g00006.1	ZF-HD
Sme2.5_00091.1_g00001.1	Sme2.5_00091.1_g00001.1	GRAS
Sme2.5_00096.1_g00018.1	Sme2.5_00096.1_g00018.1	NAC
Sme2.5_00097.1_g00020.1	Sme2.5_00097.1_g00020.1	bZIP
Sme2.5_00099.1_g00002.1	Sme2.5_00099.1_g00002.1	GRAS
Sme2.5_00100.1_g00011.1	Sme2.5_00100.1_g00011.1	GRAS
Sme2.5_00100.1_g00012.1	Sme2.5_00100.1_g00012.1	WRKY
Sme2.5_00110.1_g00016.1	Sme2.5_00110.1_g00016.1	E2F/DP
Sme2.5_00114.1_g00006.1	Sme2.5_00114.1_g00006.1	bHLH
Sme2.5_00114.1_g00007.1	Sme2.5_00114.1_g00007.1	bHLH
