TF_ID	Gene_ID	Family
Sevir.5G095000.1.p	Sevir.5G095000	RAV
Sevir.3G161500.1.p	Sevir.3G161500	RAV
Sevir.5G283200.1.p	Sevir.5G283200	RAV
Sevir.5G094900.1.p	Sevir.5G094900	RAV
Sevir.1G003600.1.p	Sevir.1G003600	Trihelix
Sevir.1G010100.1.p	Sevir.1G010100	WRKY
Sevir.1G013100.1.p	Sevir.1G013100	bHLH
Sevir.1G015200.1.p	Sevir.1G015200	NAC
Sevir.1G019500.1.p	Sevir.1G019500	bZIP
Sevir.1G022000.1.p	Sevir.1G022000	Dof
Sevir.1G024800.1.p	Sevir.1G024800	BES1
Sevir.1G026200.1.p	Sevir.1G026200	HSF
Sevir.1G026300.1.p	Sevir.1G026300	HSF
Sevir.1G027600.1.p	Sevir.1G027600	bHLH
Sevir.1G034500.1.p	Sevir.1G034500	GATA
Sevir.1G034500.2.p	Sevir.1G034500	GATA
Sevir.1G034900.1.p	Sevir.1G034900	bHLH
Sevir.1G034900.2.p	Sevir.1G034900	bHLH
Sevir.1G043300.1.p	Sevir.1G043300	bZIP
Sevir.1G043300.2.p	Sevir.1G043300	bZIP
Sevir.1G048500.1.p	Sevir.1G048500	GRAS
Sevir.1G049600.1.p	Sevir.1G049600	bZIP
Sevir.1G049600.2.p	Sevir.1G049600	bZIP
Sevir.1G049600.3.p	Sevir.1G049600	bZIP
Sevir.1G049600.4.p	Sevir.1G049600	bZIP
Sevir.1G049600.5.p	Sevir.1G049600	bZIP
Sevir.1G049600.6.p	Sevir.1G049600	bZIP
Sevir.1G049600.7.p	Sevir.1G049600	bZIP
Sevir.1G051200.1.p	Sevir.1G051200	bZIP
Sevir.1G053800.1.p	Sevir.1G053800	bZIP
Sevir.1G061500.1.p	Sevir.1G061500	WRKY
Sevir.1G065500.1.p	Sevir.1G065500	SBP
Sevir.1G067500.1.p	Sevir.1G067500	bZIP
Sevir.1G067500.2.p	Sevir.1G067500	bZIP
Sevir.1G068000.1.p	Sevir.1G068000	Trihelix
Sevir.1G068200.1.p	Sevir.1G068200	SBP
Sevir.1G070500.1.p	Sevir.1G070500	NF-YC
Sevir.1G070500.2.p	Sevir.1G070500	NF-YC
Sevir.1G070500.3.p	Sevir.1G070500	NF-YC
Sevir.1G079500.1.p	Sevir.1G079500	Whirly
Sevir.1G086500.1.p	Sevir.1G086500	GeBP
Sevir.1G090100.1.p	Sevir.1G090100	SBP
Sevir.1G090100.2.p	Sevir.1G090100	SBP
Sevir.1G090100.3.p	Sevir.1G090100	SBP
Sevir.1G090100.4.p	Sevir.1G090100	SBP
Sevir.1G092900.1.p	Sevir.1G092900	Nin-like
Sevir.1G095700.1.p	Sevir.1G095700	bZIP
Sevir.1G100300.1.p	Sevir.1G100300	bZIP
Sevir.1G102800.1.p	Sevir.1G102800	GATA
Sevir.1G110100.1.p	Sevir.1G110100	bHLH
Sevir.1G110100.2.p	Sevir.1G110100	bHLH
Sevir.1G110100.3.p	Sevir.1G110100	bHLH
Sevir.1G117500.1.p	Sevir.1G117500	bHLH
Sevir.1G121600.1.p	Sevir.1G121600	CPP
Sevir.1G121600.2.p	Sevir.1G121600	CPP
Sevir.1G125800.1.p	Sevir.1G125800	NAC
Sevir.1G126800.1.p	Sevir.1G126800	NAC
Sevir.1G127300.1.p	Sevir.1G127300	NAC
Sevir.1G127500.1.p	Sevir.1G127500	NAC
Sevir.1G130300.1.p	Sevir.1G130300	GeBP
Sevir.1G130900.1.p	Sevir.1G130900	NAC
Sevir.1G137300.1.p	Sevir.1G137300	NAC
Sevir.1G138400.1.p	Sevir.1G138400	Nin-like
