TF_ID	Gene_ID	Family
Gorai.005G138100.1	Gorai.005G138100	RAV
Gorai.008G185900.1	Gorai.008G185900	RAV
Gorai.013G080000.1	Gorai.013G080000	RAV
Gorai.013G204200.1	Gorai.013G204200	RAV
Gorai.009G020300.1	Gorai.009G020300	RAV
Gorai.013G204000.1	Gorai.013G204000	RAV
Gorai.009G020200.1	Gorai.009G020200	RAV
Gorai.013G249100.1	Gorai.013G249100	RAV
Gorai.004G018300.1	Gorai.004G018300	RAV
Gorai.001G000600.1	Gorai.001G000600	bZIP
Gorai.001G002200.1	Gorai.001G002200	WRKY
Gorai.001G002200.2	Gorai.001G002200	WRKY
Gorai.001G002200.3	Gorai.001G002200	WRKY
Gorai.001G003200.1	Gorai.001G003200	S1Fa-like
Gorai.001G004200.1	Gorai.001G004200	Trihelix
Gorai.001G004200.2	Gorai.001G004200	Trihelix
Gorai.001G006500.1	Gorai.001G006500	CPP
Gorai.001G006500.2	Gorai.001G006500	CPP
Gorai.001G007000.1	Gorai.001G007000	bHLH
Gorai.001G007000.2	Gorai.001G007000	bHLH
Gorai.001G007000.3	Gorai.001G007000	bHLH
Gorai.001G012400.1	Gorai.001G012400	bHLH
Gorai.001G012400.2	Gorai.001G012400	bHLH
Gorai.001G012700.1	Gorai.001G012700	HSF
Gorai.001G014200.1	Gorai.001G014200	NF-YA
Gorai.001G014200.2	Gorai.001G014200	NF-YA
Gorai.001G017900.1	Gorai.001G017900	bHLH
Gorai.001G020300.1	Gorai.001G020300	Trihelix
Gorai.001G020300.2	Gorai.001G020300	Trihelix
Gorai.001G021500.1	Gorai.001G021500	WRKY
Gorai.001G022100.1	Gorai.001G022100	LBD
Gorai.001G032200.1	Gorai.001G032200	WRKY
Gorai.001G032200.2	Gorai.001G032200	WRKY
Gorai.001G032200.3	Gorai.001G032200	WRKY
Gorai.001G037700.1	Gorai.001G037700	WRKY
Gorai.001G037700.2	Gorai.001G037700	WRKY
Gorai.001G037700.3	Gorai.001G037700	WRKY
Gorai.001G037700.4	Gorai.001G037700	WRKY
Gorai.001G037800.1	Gorai.001G037800	WRKY
Gorai.001G042700.1	Gorai.001G042700	YABBY
Gorai.001G042700.2	Gorai.001G042700	YABBY
Gorai.001G042700.3	Gorai.001G042700	YABBY
Gorai.001G042700.4	Gorai.001G042700	YABBY
Gorai.001G042700.5	Gorai.001G042700	YABBY
Gorai.001G042700.6	Gorai.001G042700	YABBY
Gorai.001G047300.1	Gorai.001G047300	bHLH
Gorai.001G047400.1	Gorai.001G047400	Trihelix
Gorai.001G048200.1	Gorai.001G048200	NAC
Gorai.001G053900.1	Gorai.001G053900	LFY
Gorai.001G053900.2	Gorai.001G053900	LFY
Gorai.001G054900.1	Gorai.001G054900	bHLH
Gorai.001G057600.1	Gorai.001G057600	WRKY
Gorai.001G057700.1	Gorai.001G057700	SBP
Gorai.001G058500.1	Gorai.001G058500	NF-YC
Gorai.001G058500.2	Gorai.001G058500	NF-YC
Gorai.001G058500.3	Gorai.001G058500	NF-YC
Gorai.001G059600.1	Gorai.001G059600	Trihelix
Gorai.001G059600.2	Gorai.001G059600	Trihelix
Gorai.001G059600.3	Gorai.001G059600	Trihelix
Gorai.001G064700.1	Gorai.001G064700	NF-YB
Gorai.001G064700.2	Gorai.001G064700	NF-YB
Gorai.001G064700.3	Gorai.001G064700	NF-YB
Gorai.001G064700.4	Gorai.001G064700	NF-YB
Gorai.001G064700.5	Gorai.001G064700	NF-YB
Gorai.001G067000.1	Gorai.001G067000	Dof
Gorai.001G070700.1	Gorai.001G070700	NAC
Gorai.001G072200.1	Gorai.001G072200	TCP
Gorai.001G074900.1	Gorai.001G074900	bHLH
Gorai.001G076700.1	Gorai.001G076700	TCP
Gorai.001G076700.2	Gorai.001G076700	TCP
Gorai.001G076700.3	Gorai.001G076700	TCP
Gorai.001G078500.1	Gorai.001G078500	bHLH
Gorai.001G078500.2	Gorai.001G078500	bHLH
Gorai.001G086800.1	Gorai.001G086800	bHLH
Gorai.001G089400.1	Gorai.001G089400	GRAS
Gorai.001G091900.1	Gorai.001G091900	NAC
Gorai.001G091900.2	Gorai.001G091900	NAC
Gorai.001G094300.1	Gorai.001G094300	WRKY
Gorai.001G103300.1	Gorai.001G103300	bHLH
Gorai.001G109300.1	Gorai.001G109300	Dof
Gorai.001G111500.1	Gorai.001G111500	GRAS
Gorai.001G111500.2	Gorai.001G111500	GRAS
Gorai.001G111600.1	Gorai.001G111600	GRAS
Gorai.001G117300.1	Gorai.001G117300	GeBP
Gorai.001G122100.1	Gorai.001G122100	bZIP
Gorai.001G122100.2	Gorai.001G122100	bZIP
Gorai.001G122100.3	Gorai.001G122100	bZIP
Gorai.001G122800.1	Gorai.001G122800	NAC
Gorai.001G123900.1	Gorai.001G123900	E2F/DP
Gorai.001G123900.2	Gorai.001G123900	E2F/DP
Gorai.001G127000.1	Gorai.001G127000	YABBY
Gorai.001G129500.1	Gorai.001G129500	Dof
Gorai.001G129700.1	Gorai.001G129700	LBD
