TF_ID	Gene_ID	Family
XP_009152116.1	LOC103875354	RAV
XP_009115339.1	LOC103840594	RAV
XP_009147833.1	LOC103871341	RAV
XP_009127674.1	LOC103852529	RAV
XP_009118012.1	LOC103843064	RAV
XP_009148531.1	LOC103871946	RAV
XP_009109894.1	LOC103835464	RAV
XP_009107560.1	LOC103833213	RAV
XP_009144967.1	LOC103868638	RAV
XP_009144943.1	LOC103868609	RAV
XP_009144942.1	LOC103868609	RAV
XP_009147781.1	LOC103871300	RAV
XP_009147811.1	LOC103871324	RAV
XP_009147812.1	LOC103871326	RAV
XP_009101242.1	LOC103827509	Whirly
XP_009101243.1	LOC103827509	Whirly
XP_009101257.1	LOC103827519	NAC
XP_009101333.1	LOC103827572	GRAS
XP_009101397.1	LOC103827627	NF-YB
XP_009101446.1	LOC103827667	GATA
XP_009101447.1	LOC103827667	GATA
XP_009101493.1	LOC103827709	bHLH
XP_009101500.1	LOC103827718	bHLH
XP_009101506.1	LOC103827724	NAC
XP_009101520.1	LOC103827736	WRKY
XP_009101672.1	LOC103827867	bHLH
XP_009101673.1	LOC103827868	bHLH
XP_009101738.1	LOC103827928	bZIP
XP_009101755.1	LOC103827941	bHLH
XP_009101773.1	LOC103827963	bHLH
XP_009101792.1	LOC103827978	SBP
XP_009101793.1	LOC103827978	SBP
XP_009101798.1	LOC103827983	NF-YC
XP_009101826.1	LOC103828007	bZIP
XP_009101827.1	LOC103828007	bZIP
XP_009101840.1	LOC103828014	Dof
XP_009101879.1	LOC103828046	WRKY
XP_009101914.1	LOC103828070	LBD
XP_009101921.1	LOC103828081	BBR-BPC
XP_009101922.1	LOC103828082	bZIP
XP_009101923.1	LOC103828082	bZIP
XP_009101949.1	LOC103828104	Nin-like
XP_009101950.1	LOC103828104	Nin-like
XP_009102028.1	LOC103828171	HSF
XP_009102075.1	LOC103828214	LBD
XP_009102248.1	LOC103828397	GATA
XP_009102251.1	LOC103828402	bHLH
XP_009102266.1	LOC103828416	bZIP
XP_009102279.1	LOC103828429	SRS
XP_009102280.1	LOC103828429	SRS
XP_009102282.1	LOC103828433	NAC
XP_009102422.1	LOC103828569	NAC
XP_009102423.1	LOC103828569	NAC
XP_009102424.1	LOC103828569	NAC
XP_009102425.1	LOC103828569	NAC
XP_009102453.1	LOC103828592	Trihelix
XP_009102502.1	LOC103828626	HSF
XP_009102547.1	LOC103828673	bHLH
XP_009102591.1	LOC103828715	bHLH
XP_009102592.1	LOC103828715	bHLH
XP_009102593.1	LOC103828716	bHLH
XP_009102594.1	LOC103828717	bHLH
XP_009102628.1	LOC103828747	bZIP
XP_009102650.1	LOC103828768	bHLH
XP_009102666.1	LOC103828784	LBD
XP_009102667.1	LOC103828785	Trihelix
